Time, Low-pass and crossfade (2st partial)
0.883066, 94.732796
0.884580, 96.391907
0.886095, 97.235069
0.887610, 97.996628
0.889125, 97.643044
0.890639, 98.105423
0.892154, 100.009323
0.893669, 99.166168
0.895183, 94.977585
0.896698, 91.768143
0.898213, 93.236870
0.899727, 92.312119
0.901242, 88.830696
0.902757, 89.973038
0.904271, 93.944031
0.905786, 97.860634
0.907301, 99.356560
0.908816, 98.241417
0.910330, 93.264069
0.911845, 89.347466
0.913360, 88.803497
0.914874, 88.395515
0.916389, 87.933136
0.917904, 88.150726
0.919418, 86.382820
0.920933, 87.824341
0.922448, 88.803497
0.923962, 86.627602
0.925477, 84.614906
0.926992, 85.131683
0.928507, 86.926788
0.930021, 88.449913
0.931536, 91.904137
0.933051, 93.617653
0.934565, 92.556908
0.936080, 92.312119
0.937595, 93.563255
0.939109, 95.358360
0.940624, 97.425461
0.942139, 98.758186
0.943653, 101.042877
0.945168, 103.354759
0.946683, 104.905075
0.948198, 106.428200
0.949712, 105.476250
0.951227, 102.810783
0.952742, 101.586845
0.954256, 101.913231
0.955771, 100.417305
0.957286, 97.751839
0.958800, 95.385559
0.960315, 95.875137
0.961830, 97.343864
0.963344, 97.806236
0.964859, 97.289467
0.966374, 95.303963
0.967889, 91.931335
0.969403, 91.278572
0.970918, 91.088181
0.972433, 89.347466
0.973947, 86.491615
0.975462, 86.219627
0.976977, 86.301224
0.978491, 83.744553
0.980006, 85.757248
0.981521, 88.041931
0.983035, 87.334770
0.984550, 87.280373
0.986065, 89.619453
0.987580, 92.584106
0.989094, 93.264069
0.990609, 95.276764
0.992124, 99.628548
0.993638, 100.362907
0.995153, 100.090919
0.996668, 101.178864
0.998182, 100.906883
0.999697, 101.586845
1.001212, 102.375603
1.002726, 102.729187
1.004241, 104.279510
1.005756, 105.721039
1.007271, 105.993019
1.008785, 106.292206
1.010300, 105.530647
1.011815, 104.252312
1.013329, 104.605896
1.014844, 107.162567
1.016359, 108.495293
1.017873, 109.556046
1.019388, 111.296753
1.020903, 111.323952
1.022417, 110.507996
1.023932, 110.861572
1.025447, 108.604088
1.026962, 105.503448
1.028476, 104.306709
1.029991, 104.524300
1.031506, 104.796280
1.033020, 104.333908
1.034535, 105.340256
1.036050, 104.388306
1.037564, 102.348404
1.039079, 102.430000
1.040594, 101.151665
1.042109, 100.934082
1.043623, 104.388306
1.045138, 106.700188
1.046653, 108.522491
1.048167, 111.187958
1.049682, 112.411896
1.051197, 110.344803
1.052711, 109.447250
1.054226, 108.685684
1.055741, 105.829834
1.057255, 105.775436
1.058770, 108.032921
1.060285, 109.229660
1.061800, 108.440895
1.063314, 107.896927
1.064829, 108.277710
1.066344, 107.978523
1.067858, 109.474449
1.069373, 110.507996
1.070888, 109.828026
1.072402, 109.610435
1.073917, 109.556046
1.075432, 109.175262
1.076946, 108.549690
1.078461, 107.461746
1.079976, 107.189758
1.081491, 109.746429
1.083005, 110.888771
1.084520, 109.610435
1.086035, 109.256859
1.087549, 109.175262
1.089064, 107.951324
1.090579, 105.938629
1.092093, 104.170715
