Time, Low-pass (2st partial)
1.393517, 107.461723
1.395032, 107.561546
1.396546, 107.675621
1.398061, 107.824081
1.399576, 108.003784
1.401091, 108.203453
1.402605, 108.395790
1.404120, 108.546227
1.405635, 108.661247
1.407149, 108.770271
1.408664, 108.877098
1.410179, 108.963707
1.411693, 109.023979
1.413208, 109.073166
1.414723, 109.122093
1.416238, 109.176781
1.417752, 109.241524
1.419267, 109.311874
1.420782, 109.385544
1.422296, 109.462006
1.423811, 109.546188
1.425326, 109.643623
1.426840, 109.746002
1.428355, 109.847328
1.429870, 109.953644
1.431384, 110.068787
1.432899, 110.182434
1.434414, 110.286751
1.435929, 110.396805
1.437443, 110.515747
1.438958, 110.615776
1.440473, 110.692596
1.441987, 110.780479
1.443502, 110.901337
1.445017, 111.050217
1.446531, 111.218880
1.448046, 111.403877
1.449561, 111.603539
1.451075, 111.820160
1.452590, 112.051949
1.454105, 112.287544
1.455620, 112.516472
1.457134, 112.735725
1.458649, 112.951714
1.460164, 113.169113
1.461678, 113.382462
1.463193, 113.589996
1.464708, 113.783348
1.466222, 113.935600
1.467737, 114.038643
1.469252, 114.116920
1.470766, 114.186340
1.472281, 114.246605
1.473796, 114.303535
1.475311, 114.369209
1.476825, 114.456322
1.478340, 114.574219
1.479855, 114.725616
1.481369, 114.900352
1.482884, 115.082756
1.484399, 115.265297
1.485913, 115.441261
1.487428, 115.603012
1.488943, 115.742348
1.490458, 115.853409
1.491972, 115.938866
1.493487, 115.999855
1.495002, 116.034477
1.496516, 116.049080
1.498031, 116.052559
1.499546, 116.057831
1.501060, 116.091003
1.502575, 116.162010
1.504090, 116.253090
1.505604, 116.347366
1.507119, 116.430672
1.508634, 116.480286
1.510149, 116.485573
1.511663, 116.457916
1.513178, 116.401352
1.514693, 116.311401
1.516207, 116.200424
1.517722, 116.083702
1.519237, 115.952888
1.520751, 115.794693
1.522266, 115.622299
1.523781, 115.455498
1.525295, 115.299973
1.526810, 115.165146
1.528325, 115.068115
1.529840, 115.014717
1.531354, 114.992538
1.532869, 114.991669
1.534384, 115.010124
1.535898, 115.034866
1.537413, 115.048080
1.538928, 115.045105
1.540442, 115.032585
1.541957, 115.025482
1.543472, 115.042786
1.544986, 115.082588
1.546501, 115.125641
1.548016, 115.176750
1.549531, 115.256836
1.551045, 115.373840
1.552560, 115.522278
1.554075, 115.683922
1.555589, 115.844788
1.557104, 116.003372
1.558619, 116.154289
1.560133, 116.289574
1.561648, 116.411797
1.563163, 116.533325
1.564677, 116.659851
1.566192, 116.791153
1.567707, 116.935379
1.569221, 117.084213
1.570736, 117.210152
1.572251, 117.305145
1.573766, 117.367996
1.575280, 117.388138
1.576795, 117.366638
1.578310, 117.320183
1.579824, 117.275093
1.581339, 117.254135
1.582854, 117.258278
1.584368, 117.275085
1.585883, 117.293564
1.587398, 117.307564
1.588912, 117.314743
1.590427, 117.324333
1.591942, 117.348457
1.593457, 117.369041
1.594971, 117.367767
1.596486, 117.349396
1.598001, 117.299416
1.599515, 117.213150
1.601030, 117.124313
1.602545, 117.051094
1.604059, 116.997627
1.605574, 116.986938
1.607089, 117.026749
1.608603, 117.089584
1.610118, 117.147194
1.611633, 117.191101
1.613148, 117.239464
1.614662, 117.323555
1.616177, 117.462425
1.617692, 117.660927
1.619206, 117.893417
1.620721, 118.112228
1.622236, 118.298294
1.623750, 118.452042
1.625265, 118.567787
1.626780, 118.657730
1.628294, 118.747078
1.629809, 118.840683
1.631324, 118.930496
1.632839, 119.030472
1.634353, 119.163094
1.635868, 119.317398
1.637383, 119.474754
1.638897, 119.636711
1.640412, 119.806793
1.641927, 119.983345
1.643441, 120.159325
1.644956, 120.323753
1.646471, 120.478668
1.647985, 120.645302
1.649500, 120.844833
1.651015, 121.074402
1.652530, 121.308044
1.654044, 121.538292
1.655559, 121.784164
1.657074, 122.059860
1.658588, 122.364761
1.660103, 122.690964
1.661618, 123.032776
1.663132, 123.402321
1.664647, 123.836250
1.666162, 124.360756
1.667676, 124.963440
1.669191, 125.589302
1.670706, 126.171783
1.672221, 126.678314
1.673735, 127.108330
1.675250, 127.485466
1.676765, 127.845078
1.678279, 128.210495
1.679794, 128.593628
1.681309, 129.008179
1.682823, 129.459290
1.684338, 129.927139
1.685853, 130.382278
1.687368, 130.812561
1.688882, 131.238297
1.690397, 131.700516
1.691912, 132.221497
1.693426, 132.785431
1.694941, 133.354111
1.696456, 133.892410
1.697970, 134.390335
1.699485, 134.869141
1.701000, 135.366287
1.702514, 135.909454
1.704029, 136.498672
1.705544, 137.103668
1.707059, 137.681702
1.708573, 138.207581
1.710088, 138.685654
1.711603, 139.136734
1.713117, 139.591599
1.714632, 140.085678
1.716147, 140.638565
1.717661, 141.253983
1.719176, 141.913757
1.720691, 142.566467
1.722205, 143.168869
1.723720, 143.717651
1.725235, 144.248642
1.726750, 144.814331
1.728264, 145.416794
1.729779, 146.015579
1.731294, 146.598404
1.732808, 147.177216
1.734323, 147.774628
1.735838, 148.422028
1.737352, 149.123306
1.738867, 149.865158
1.740382, 150.646103
1.741896, 151.465103
1.743411, 152.322342
1.744926, 153.211151
1.746441, 154.103470
1.747955, 154.977936
1.749470, 155.836609
1.750985, 156.681137
1.752499, 157.503204
1.754014, 158.291290
1.755529, 159.023499
1.757043, 159.666702
1.758558, 160.218338
1.760073, 160.720703
1.761588, 161.206055
1.763102, 161.677734
1.764617, 162.140457
1.766132, 162.606995
1.767646, 163.097168
1.769161, 163.628159
1.770676, 164.195343
1.772190, 164.779953
1.773705, 165.356812
1.775220, 165.905930
1.776734, 166.416092
1.778249, 166.878601
1.779764, 167.309769
1.781278, 167.737534
1.782793, 168.173279
1.784308, 168.612610
1.785823, 169.044113
1.787337, 169.481583
1.788852, 169.947586
1.790367, 170.426590
1.791881, 170.886932
1.793396, 171.323593
1.794911, 171.756760
1.796425, 172.200821
1.797940, 172.650757
1.799455, 173.096390
1.800969, 173.541382
1.802484, 174.013733
1.803999, 174.530334
1.805514, 175.065323
1.807028, 175.594116
1.808543, 176.114594
1.810058, 176.620789
1.811572, 177.120911
1.813087, 177.642838
1.814602, 178.190125
1.816116, 178.735962
1.817631, 179.263840
1.819146, 179.794998
1.820660, 180.356796
1.822175, 180.943726
1.823690, 181.537109
1.825204, 182.132889
1.826719, 182.731018
1.828234, 183.316559
1.829749, 183.876160
1.831263, 184.419205
1.832778, 184.959015
1.834293, 185.508377
1.835807, 186.080444
1.837322, 186.661163
1.838837, 187.226913
1.840351, 187.773453
1.841866, 188.308838
1.843381, 188.842163
1.844895, 189.368393
1.846410, 189.865082
1.847925, 190.298615
1.849440, 190.640442
1.850954, 190.895279
1.852469, 191.100662
1.853984, 191.292267
1.855498, 191.487427
1.857013, 191.703445
1.858528, 191.962280
1.860042, 192.269806
1.861557, 192.602631
